Designator,Mid X,Mid Y,Rotation,Layer
C1,5.171212,11.864462,90,top
C2,19.575235,26.328659,180,top
C3,62.271212,33.784462,-90,top
C4,71.871212,22.984462,0,top
C5,114.325235,25.828659,-90,top
C6,136.771212,8.184462,0,top
C7,70.595235,9.284462,0,top
D1,3.521212,6.484462,-90,top
D2,24.321212,17.421962,180,top
D3,25.371212,25.384462,0,top
D4,58.521212,31.584462,-90,top
D5,68.021212,20.484462,-90,top
D6,110.521212,24.828659,-90,top
D7,132.421212,5.784462,-90,top
F1,28.921212,16.621962,-90,top
Q1,84.921212,30.534462,90,top
Q2,84.921212,25.846962,90,top
R1,63.171212,28.484462,90,top
R2,79.421212,19.464462,90,top
R3,74.575235,28.578659,90,top
R4,76.921212,32.284462,90,top
SW1,101.947027,25.95058,-15,top
SW2,34.447027,25.95058,15,top
U3,67.634827,9.838352,-90,top
